peek_index,target_id,side,outcome,visible_to_counter_ms,counter_to_first_shot_ms,release_to_first_shot_ms,flags
0,t0,L,hit,,,,no_counter|no_key_transition
1,t1,R,hit,,,,no_counter|no_key_transition
2,t2,L,hit,,,,no_counter|no_key_transition
3,t3,R,hit,,,,no_counter|no_key_transition
4,t4,L,hit,,,,no_counter|no_key_transition
5,t5,R,hit,,,,no_counter|no_key_transition
6,t6,L,hit,,,,no_counter|no_key_transition
7,t7,R,hit,,,,no_counter|no_key_transition
8,t8,L,hit,,,,no_counter|no_key_transition
9,t9,R,hit,,,,no_counter|no_key_transition
10,t10,L,hit,,,,no_counter|no_key_transition
11,t11,R,hit,,,,no_counter|no_key_transition
12,t12,L,hit,,,,no_counter|no_key_transition
13,t13,R,hit,,,,no_counter|no_key_transition
14,t14,L,hit,,,,no_counter|no_key_transition
15,t15,R,hit,,,,no_counter|no_key_transition
16,t16,L,hit,,,,no_counter|no_key_transition
17,t17,R,hit,,,,no_counter|no_key_transition
18,t18,L,hit,,,,no_counter|no_key_transition
19,t19,R,hit,,,,no_counter|no_key_transition
