peek_index,side,start_idx,end_idx,n_ticks,padded_n,bins_le_fc,sparc,flags
0,L,,,0,,,,"('no_primary_flick',)"
1,R,10.0,44.0,35,64.0,11.0,-1.5170785717673816,()
2,L,6.0,47.0,42,64.0,11.0,-1.7571248024603643,()
3,R,9.0,35.0,27,32.0,6.0,-1.359982685172532,()
4,L,6.0,40.0,35,64.0,11.0,-1.475771161478809,()
5,R,7.0,38.0,32,32.0,6.0,-1.3938436983005194,()
6,L,9.0,41.0,33,64.0,11.0,-1.227987916090581,()
7,R,6.0,39.0,34,64.0,11.0,-1.4383232673083752,()
8,L,3.0,51.0,49,64.0,11.0,-1.6061816256765695,()
9,R,9.0,36.0,28,32.0,6.0,-1.3726499726418482,()
10,L,5.0,37.0,33,64.0,11.0,-1.4839638823903119,()
11,R,7.0,32.0,26,32.0,6.0,-1.1161651231985066,()
12,L,7.0,36.0,30,32.0,6.0,-1.4901157423690865,()
13,R,12.0,35.0,24,32.0,6.0,-1.6305597628080326,()
14,L,12.0,41.0,30,32.0,6.0,-1.3971631031451675,()
15,R,9.0,33.0,25,32.0,6.0,-1.3907735343759313,()
16,L,1.0,38.0,38,64.0,11.0,-1.5478907949738046,()
17,R,11.0,37.0,27,32.0,6.0,-1.1220625042122834,()
18,L,1.0,36.0,36,64.0,11.0,-1.5062939020581156,()
19,R,11.0,38.0,28,32.0,6.0,-1.391262184593178,()
