session,metric,n,n_flagged,mean,p50,sd
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,rec_ms,20,0,67.1875,58.59375,35.70253566109246
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,mr_ms,20,0,244.140625,238.28125,43.599585772378916
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,v_ms,20,0,183.78450000090524,191.46875000093132,55.399469784068245
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,peak_omega_deg_s,20,0,175.68874010188648,170.31352166026193,38.99425041011297
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,rec_ms,19,1,57.97697368421053,54.6875,25.952423840170006
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,mr_ms,19,1,243.83223684210526,242.1875,48.829267165004076
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,v_ms,19,1,192.7132894734019,188.285000000149,51.039866383421476
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,peak_omega_deg_s,19,1,174.7458096427756,180.22486096719285,33.26037379370603
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,rec_ms,20,0,73.4375,66.40625,25.649458802128855
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,mr_ms,20,0,270.703125,265.625,66.20761701326863
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,v_ms,20,0,133.60512499958276,137.25249999947846,68.54386345084201
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,peak_omega_deg_s,20,0,170.34586715826322,156.64352639365984,58.97943731982018
