peek_index,side,t_onset,t_mr_end,t_anchor,rec_ms,mr_ms,v_ms,peak_omega_deg_s,t_detect,rec_minus_detect_ms,flags
0,L,,,,,,,,536716.9399999995,,"('no_primary_flick',)"
1,R,537248.1899999995,537513.8149999995,537722.0349999983,78.125,265.625,208.2199999988079,180.22486096719285,537279.4399999995,-31.25,()
2,L,537779.4399999995,538099.7524999995,538333.8149999995,46.875,320.3125,234.0625,135.51638878356854,,,()
3,R,538412.2524999995,538615.3774999995,538839.2599999998,70.3125,203.125,223.88250000029802,154.82977969526536,538466.9399999995,-54.6875,()
4,L,538896.6274999995,539162.2524999995,539341.8649999984,46.875,265.625,179.6124999988824,138.11616753454382,,,()
5,R,539404.4399999995,539646.6274999995,539825.254999999,54.6875,242.1875,178.62749999947846,149.41572594048077,539490.3774999995,-85.9375,()
6,L,539904.4399999995,540154.4399999995,540340.8399999999,70.3125,250.0,186.40000000037253,143.97899375330994,,,()
7,R,540396.6274999995,540654.4399999995,540842.7249999996,46.875,257.8125,188.285000000149,138.20143372036236,,,()
8,L,540881.0024999995,541256.0024999995,541302.4199999999,23.4375,375.0,46.417500000447035,128.14126915727783,,,()
9,R,541381.0024999995,541591.9399999995,541783.1999999993,70.3125,210.9375,191.25999999977648,185.77893819101547,541420.0649999995,-39.0625,()
10,L,541834.1274999995,542084.1274999995,542302.7849999983,39.0625,250.0,218.6574999988079,163.67989025101252,,,()
11,R,542365.3774999995,542560.6899999995,542740.9550000001,54.6875,195.3125,180.26500000059605,209.2101671523575,542435.6899999995,-70.3125,()
12,L,542810.6899999995,543037.2524999995,543164.0499999989,54.6875,226.5625,126.79749999940395,184.53728146051864,,,()
13,R,543271.6274999995,543451.3149999995,543738.4949999992,93.75,179.6875,287.179999999702,256.8879399793387,543365.3774999995,-93.75,()
14,L,543841.9399999995,544068.5024999995,544248.2699999996,93.75,226.5625,179.7675000000745,183.0543919829851,,,()
15,R,544334.1274999995,544521.6274999995,544760.1899999995,70.3125,187.5,238.5625,208.70125595997848,544412.2524999995,-78.125,()
16,L,544779.4399999995,545068.5024999995,545227.4899999984,7.8125,289.0625,158.9874999988824,163.6092787961608,,,()
17,R,545326.3149999995,545529.4399999995,545781.0349999983,85.9375,203.125,251.5949999988079,202.6114820597926,545420.0649999995,-93.75,()
18,L,545802.8774999995,546076.3149999995,546243.7050000001,7.8125,273.4375,167.39000000059605,205.07528056379982,,,()
19,R,546341.9399999995,546552.8774999995,546768.459999999,85.9375,210.9375,215.58249999955297,188.59985726377485,,,()
