cutoff_hz,butter_order,min_window_ticks,synthetic_case_failures,real_peek_count,real_non_degenerate_count,real_non_degenerate_rate,passes,is_frozen_candidate
12.0,4,30,0,60,59,0.9833333333333333,True,True
8.0,2,24,0,60,59,0.9833333333333333,True,False
12.0,2,24,0,60,59,0.9833333333333333,True,False
16.0,2,24,0,60,59,0.9833333333333333,True,False
8.0,4,24,0,60,59,0.9833333333333333,True,False
12.0,4,24,0,60,59,0.9833333333333333,True,False
16.0,4,24,0,60,59,0.9833333333333333,True,False
8.0,2,30,0,60,59,0.9833333333333333,True,False
12.0,2,30,0,60,59,0.9833333333333333,True,False
16.0,2,30,0,60,59,0.9833333333333333,True,False
8.0,4,30,0,60,59,0.9833333333333333,True,False
16.0,4,30,0,60,59,0.9833333333333333,True,False
8.0,2,40,0,60,59,0.9833333333333333,True,False
12.0,2,40,0,60,59,0.9833333333333333,True,False
16.0,2,40,0,60,59,0.9833333333333333,True,False
8.0,4,40,0,60,59,0.9833333333333333,True,False
12.0,4,40,0,60,59,0.9833333333333333,True,False
16.0,4,40,0,60,59,0.9833333333333333,True,False
