peek_index,side,lag_ms,r,n_overlap
0,L,-250.0,nan,26
0,L,-242.1875,nan,27
0,L,-234.375,nan,28
0,L,-226.5625,0.18756727040091675,29
0,L,-218.75,0.2814848026339371,30
0,L,-210.9375,0.3581892718791774,31
0,L,-203.125,0.425075245377215,32
0,L,-195.3125,0.4519731973537474,33
0,L,-187.5,0.5010896583781941,34
0,L,-179.6875,0.5547969385325747,35
0,L,-171.875,0.6036110136600038,36
0,L,-164.0625,0.6314607827795209,37
0,L,-156.25,0.643811205721809,38
0,L,-148.4375,0.649781704493145,39
0,L,-140.625,0.6493188526648819,40
0,L,-132.8125,0.6316386841822813,41
0,L,-125.0,0.6184261914572566,42
0,L,-117.1875,0.6007682379651087,43
0,L,-109.375,0.5842732910027352,44
0,L,-101.5625,0.5585763341575318,45
0,L,-93.75,0.5366773129040902,46
0,L,-85.9375,0.514166033114051,47
0,L,-78.125,0.4891076052847656,48
0,L,-70.3125,0.45596768278452104,49
0,L,-62.5,0.3958805694318233,50
0,L,-54.6875,0.3438051745859799,51
0,L,-46.875,0.27710948683775244,52
0,L,-39.0625,0.20077803162703184,53
0,L,-31.25,0.11262603738601264,54
0,L,-23.4375,0.032302436780161696,55
0,L,-15.625,-0.06607402682178336,56
0,L,-7.8125,-0.17139130744139502,57
0,L,0.0,-0.2755789186124209,58
0,L,7.8125,-0.363779533482053,57
0,L,15.625,-0.46185161312992046,56
0,L,23.4375,-0.5646411408104718,55
0,L,31.25,-0.6441421399455383,54
0,L,39.0625,-0.7124574698694376,53
0,L,46.875,-0.7771145096805239,52
0,L,54.6875,-0.8410007014825274,51
0,L,62.5,-0.871259420765871,50
0,L,70.3125,-0.8829965321820482,49
0,L,78.125,-0.8864995056776842,48
0,L,85.9375,-0.8707489307689812,47
0,L,93.75,-0.838453289913559,46
0,L,101.5625,-0.7899723853750312,45
0,L,109.375,-0.7511972629432061,44
0,L,117.1875,-0.6953097692643653,43
0,L,125.0,-0.6322554651300462,42
0,L,132.8125,-0.5595641807890503,41
