session,peek_index,side,n_ticks,dt_ms,max_lag_ticks,peak_lag_ms,peak_strength,flags
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,0,L,58,7.8125,32,78.125,-0.8864995056776842,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,1,R,71,7.8125,32,-171.875,-0.8491232194984495,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,2,L,71,7.8125,32,-250.0,0.9041503411559157,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,3,R,62,7.8125,32,-132.8125,-0.920431384318359,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,4,L,59,7.8125,32,226.5625,0.9394969292939342,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,5,R,59,7.8125,32,-250.0,-0.9163888342861366,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,6,L,60,7.8125,32,226.5625,0.9206389578525387,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,7,R,57,7.8125,32,242.1875,-0.9205719499925817,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,8,L,58,7.8125,32,250.0,0.9357980717213884,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,9,R,61,7.8125,32,218.75,-0.960052500097557,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,10,L,63,7.8125,32,250.0,0.8838644133405846,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,11,R,52,7.8125,32,-250.0,0.8327720252317269,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,12,L,74,7.8125,32,179.6875,0.8612801776709191,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,13,R,63,7.8125,32,179.6875,-0.7595924384718026,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,14,L,53,7.8125,32,-140.625,0.847947592297591,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,15,R,80,7.8125,32,-7.8125,0.8847314582621917,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,16,L,55,7.8125,32,203.125,0.9434342805512882,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,17,R,61,7.8125,32,195.3125,-0.8800995694773627,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,18,L,55,7.8125,32,187.5,0.9387209765973877,()
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,19,R,328,7.8125,32,15.625,0.6082018332303071,()
