session,side,signal,n,n_excluded
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,L,omega,10,0
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,L,epsilon,10,0
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,R,omega,10,0
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,R,epsilon,10,0
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,L,omega,10,0
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,L,epsilon,10,0
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,R,omega,10,0
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,R,epsilon,10,0
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,L,omega,10,0
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,L,epsilon,10,0
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,R,omega,10,0
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,R,epsilon,10,0
