peek_index,side,d_deg,w_deg,id_bits,mt_ms,flags
0,L,11.159067867555452,6.828192278830021,1.3973998595816135,446.1124999988824,
1,R,28.490124198830866,6.9062407656710985,2.3576286746327613,551.9699999988079,
2,L,26.89490302559811,6.843707757528037,2.3015505108431156,601.25,
3,R,24.87349159584216,6.881243649520145,2.2062305092950236,497.320000000298,
4,L,26.21150150276593,6.906481280528318,2.2615920234339595,492.1124999988824,
5,R,27.283056133097435,6.834189668128121,2.3196589939324355,475.50249999947846,
6,L,24.81443863873347,6.939143007816504,2.1940899254973067,506.71250000037253,
7,R,26.567015312924987,6.8471882620460836,2.286877903374887,492.972500000149,
8,L,25.48272305058778,6.930151177213309,2.225608228660365,444.85500000044703,
9,R,26.770816123745632,6.867145458427475,2.2923078548381324,472.5099999997765,
10,L,27.957498463276508,6.932045522362408,2.331441707558687,507.7199999988079,
11,R,26.042710629138334,6.863056293805891,2.2614173531744854,430.26500000059605,
12,L,27.49730664277036,6.951697499508327,2.3090250675557744,408.04749999940395,
13,R,25.21295233779422,6.851191782272042,2.226534022707544,560.617499999702,
14,L,27.111396390636198,6.991786000994492,2.286173439099624,500.0800000000745,
15,R,27.730993920257852,6.797463418253187,2.3447174916748317,496.375,
16,L,27.225924217583167,6.980591508146497,2.2928499636445707,455.8624999988824,
17,R,27.091984857007624,6.795860106218173,2.3180398342827306,540.6574999988079,
18,L,26.31866916692689,6.984448562117349,2.253439122780103,448.64000000059605,
19,R,27.506968121504784,6.8225135524484495,2.33107281440082,512.457499999553,
