peek_index,segment_index,kind,start_idx,end_idx,peak_omega_deg_s,flags
1,0,primary_flick,23,49,236.65546931307318,merged_adjacent_peaks|non_finite_interpolated
2,0,primary_flick,15,39,213.39120243295653,merged_adjacent_peaks|non_finite_interpolated
3,0,primary_flick,14,36,246.68707952036686,non_finite_interpolated
4,0,primary_flick,13,40,208.5981162985871,merged_adjacent_peaks|non_finite_interpolated
5,0,primary_flick,9,34,210.40742432829182,merged_adjacent_peaks|non_finite_interpolated
6,0,primary_flick,9,35,197.5149128449725,merged_adjacent_peaks|non_finite_interpolated
7,0,primary_flick,9,46,175.48489880453775,merged_adjacent_peaks|non_finite_interpolated
8,0,primary_flick,7,35,194.7383092461406,merged_adjacent_peaks|non_finite_interpolated
9,0,primary_flick,6,30,220.72469258992393,non_finite_interpolated
10,0,primary_flick,16,38,231.65394960757482,non_finite_interpolated
11,0,primary_flick,11,36,238.4549609214414,merged_adjacent_peaks|non_finite_interpolated
12,0,primary_flick,9,34,192.47666821784466,merged_adjacent_peaks|non_finite_interpolated
13,0,primary_flick,16,38,259.2125572343681,merged_adjacent_peaks|non_finite_interpolated
14,0,primary_flick,9,36,244.77052729988694,merged_adjacent_peaks|non_finite_interpolated
15,0,primary_flick,13,38,192.6723478578181,merged_adjacent_peaks|non_finite_interpolated
16,0,primary_flick,10,35,224.1700422800036,merged_adjacent_peaks|non_finite_interpolated
17,0,primary_flick,8,42,200.9041598744413,merged_adjacent_peaks|non_finite_interpolated
18,0,primary_flick,5,31,220.10046960727317,merged_adjacent_peaks|non_finite_interpolated
19,0,primary_flick,5,27,234.51454194895248,non_finite_interpolated
